Institution Name,Location,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Overall
Massachusetts Institute of Technology (MIT) ,US,100,100,100,100,100,88.2,94.3,100,95.2,100
Harvard University,US,100,100,98.3,100,84.6,66.8,100,100,96.7,98.3
Stanford University,US,100,100,100,99.9,99.9,51.2,95.8,100,94.4,98.1
"University of California, Berkeley (UCB)",US,100,100,20.5,99.9,92.2,63.9,92.4,98.7,100,90.4
University of Chicago,US,99.1,95.4,92.5,78.5,81.2,84.4,61.4,98.3,81.7,90.3
University of Pennsylvania,US,96.4,89.1,99.9,68.4,96,70.3,83.3,100,99.9,89.4
Cornell University,US,98.1,90.5,52.9,99.1,68.7,64,79.9,98,94.7,89.3
California Institute of Technology (Caltech),US,96.1,93.7,100,100,100,81,22.8,34.2,41.4,87.8
Yale University,US,99.9,99.9,100,45.8,89.8,78.8,85.8,99.9,99.2,87.7
Princeton University,US,99.8,97.5,64.5,100,16.7,57.5,52.5,94.6,79.3,87
Columbia University,US,99.6,98.3,100,40.7,56.1,96.8,97.6,99.9,94.2,85.9
Johns Hopkins University,US,87.3,59.7,100,89.4,64.4,91.4,98.1,74.5,84.6,84.5
"University of California, Los Angeles (UCLA)",US,100,99.8,36.6,84.8,43.4,24.8,89.8,97,91.2,83.8
University of Michigan-Ann Arbor,US,98.3,89.9,82.2,56.2,67,27.6,95.4,94.3,83.7,81.7
New York University (NYU),US,95.9,98.5,95.5,26.7,26.4,95,85.4,99.7,98.3,79.5
Northwestern University,US,83.8,60.2,98.9,70.3,48.2,44.2,79.2,97.7,78,76.2
Carnegie Mellon University,US,71.2,75.3,49.1,99.9,46.6,98.2,57.4,60,47.2,73.7
Duke University,US,85.7,69.3,100,40.2,16.8,52.2,90,89.3,95,72
University of Texas at Austin,US,93.5,83.2,8.9,86.7,9.3,11,79.4,70,77.7,71.8
"University of California, San Diego (UCSD)",US,89.1,50.4,49.6,74.3,68.1,51.3,94.9,17.7,72.5,70
University of Washington,US,84,50.4,19.1,93.5,19,33.2,94,70,88.1,69.2
University of Illinois at Urbana-Champaign,US,85,70.8,7.5,86.5,11.1,49.2,76.4,66,83.5,69.1
Brown University,US,58.3,42.4,77.8,85.9,84.5,52,58.3,74.8,70.4,66.4
Pennsylvania State University,US,77.5,63,28.4,62.9,23.4,26.8,96.6,47.5,95.1,63.1
Boston University,US,61.7,68.3,32.7,60.1,21.6,87.5,72.6,68.6,85.9,61.4
